Year,Indicator,Geographical Region,Unit,Value
2008,Adolescent birth rate (aged 10-14 years; aged 15-19 years),Jamaica,"Per 1,000 women in the specified age group",72.0
2021,Adolescent birth rate (aged 10-14 years; aged 15-19 years),Jamaica,"Per 1,000 women in the specified age group",34.0
