Year,Quarter,Type of employment,Sex,Value
2022,January,Agriculture,Female,52700.0
2022,January,Agriculture,Total,189900.0
2022,April,Formal,Male,250700.0
2022,April,Formal,Female,329400.0
2022,April,Formal,Total,580100.0
2022,April,Informal,Male,300900.0
2022,April,Informal,Female,198000.0
2022,April,Informal,Total,498900.0
2022,April,Agriculture,Male,139200.0
2022,April,Agriculture,Female,51100.0
2022,April,Agriculture,Total,190300.0
2022,July,Formal,Male,248700.0
2022,July,Formal,Female,325900.0
2022,July,Formal,Total,574600.0
2022,July,Informal,Male,303600.0
2022,July,Informal,Female,206400.0
2022,July,Informal,Total,510000.0
2022,July,Agriculture,Male,135900.0
2022,July,Agriculture,Female,47500.0
2022,July,Agriculture,Total,183400.0
2022,October,Formal,Male,
2022,October,Formal,Female,
2022,October,Formal,Total,
2022,October,Informal,Male,
2022,October,Informal,Female,
2022,October,Informal,Total,
2022,October,Agriculture,Male,
2022,October,Agriculture,Female,
2022,October,Agriculture,Total,
2024,January,Formal,Total,19690.0
2024,January,Informal,Total,175576.0
2024,January,Agriculture,Total,195266.0
2024,April,Formal,Total,18842.0
2024,April,Informal,Total,178747.0
2024,April,Agriculture,Total,197589.0
2024,July,Formal,Total,16884.0
2024,July,Informal,Total,184148.0
2024,July,Agriculture,Total,201032.0
2024,October,Formal,Total,15239.0
2024,October,Informal,Total,186169.0
2024,October,Agriculture,Total,201408.0
2025,January,Formal,Total,17124.0
2025,January,Informal,Total,175450.0
2025,January,Agriculture,Total,192574.0
2025,April,Formal,Total,21709.0
2025,April,Informal,Total,169922.0
2025,April,Agriculture,Total,191631.0
2025,July,Formal,Total,18619.0
2025,July,Informal,Total,174959.0
2025,July,Agriculture,Total,193578.0
2025,October,Formal,Total,
2025,October,Informal,Total,
2025,October,Agriculture,Total,
