Year,Category,Unit,Value
2017,Lakes and rivers permanent water area change (%),Per cent,-5.39
2017,Lakes and rivers permanent water area (square kilometres),Km2,15.45
2017,Lakes and rivers permanent water area (% of total land area),Per cent,0.0
2017,Lakes and rivers seasonal water area change (%),Per cent,-18.65
2017,Lakes and rivers seasonal water area (square kilometres),Km2,15.62
2017,Lakes and rivers seasonal water area (% of total land area),Per cent,0.0
2018,Lakes and rivers permanent water area change (%),Per cent,-3.17
2018,Lakes and rivers permanent water area (square kilometres),Km2,15.81
2018,Lakes and rivers permanent water area (% of total land area),Per cent,0.0
2018,Lakes and rivers seasonal water area change (%),Per cent,-11.41
2018,Lakes and rivers seasonal water area (square kilometres),Km2,17.01
2018,Lakes and rivers seasonal water area (% of total land area),Per cent,0.0
