Year,Category,Unit,Value
2017,Amount of water- and sanitation-related official development assistance,US$M,1.3
2018,Amount of water- and sanitation-related official development assistance,US$M,0.26
2019,Amount of water- and sanitation-related official development assistance,US$M,0.13
2020,Amount of water- and sanitation-related official development assistance,US$M,30.8
