Value,Disaggregation combinations using this value,Number of indicators
All Ever-partnered,9,1
Common-law union,12,1
Fourth,12,1
Highest,12,1
Legally married,12,1
Lowest,12,1
Middle,12,1
Previously married/partnered,12,1
Second,12,1
Visiting relationship,12,1
