Value,Disaggregation combinations using this value,Number of indicators
Black River,2,1
Cabarita River,1,1
Deans Valley,1,1
Great River,2,1
Gut-Alligator Hole,1,1
Lucea River,1,1
Martha Brae,2,1
Montego River,1,1
Oracabessa - Pagee River,1,1
Rio-Bueno - White River,2,1
Rio Cobre,2,1
Rio Minho,1,1
Rio Nuevo,1,1
South Negril - Orange River,1,1
Wagwater River,1,1
