Value,Disaggregation combinations using this value,Number of indicators
Amphibians,6,1
Animals,10,1
Arthropods/ Invertebrates*,4,1
Birds,6,1
Chromists*,1,1
Fishes*,1,1
Freshwater fish,4,1
Fungi*,1,1
Mammals,6,1
Molluscs (land)*,1,1
Molluscs*,1,1
Other Inverts*,1,1
Plants*,5,1
Plants,9,1
Reptiles*,1,1
Reptiles,5,1
Total,1,1
