Value,Disaggregation combinations using this value,Number of indicators
Connecting or installing new devices,2,1
Copying or moving files or folders,2,1
Creating electronic presentations with presentation software,2,1
Finding/downloading or installing new software,2,1
"Programming or coding in digital environments (e.g. computer software, app development)",2,1
Sending e-mails with files attached,2,1
Transferring files between a computer and other,2,1
Using basic mathematical formulae in spreadsheets,2,1
Using copy and paste tools to move or duplicate information in documents,2,1
