Value,Disaggregation combinations using this value,Number of indicators
Cardboard,3,1
Compostable,2,1
E-waste,2,1
Glass,3,1
Hazardous waste,1,1
Inert waste,1,1
Metal or tin,3,1
Organic waste,1,1
Other waste,1,1
Paper,3,1
Plastic,3,1
Special Waste,1,1
Textile,3,1
Total,3,1
Wood or board,3,1
