Value,Disaggregation combinations using this value,Number of indicators
Fourth,5,1
Middle,5,1
Poorest,6,2
Quintile 2,1,1
Quintile 3,1,1
Quintile 4,1,1
Richest,5,1
Second,5,1
Wealthiest,1,1
