Value,Disaggregation combinations using this value,Number of indicators
Carbon dioxide,1,1
Carbon Monoxide,1,1
Lead,1,1
Methane,1,1
Nitrogen Oxides,1,1
Nitrous Oxide,1,1
Particulate Matter,1,1
Priority Air Pollutants,1,1
Sulphur Oxide,1,1
Total Volatile Organic Compounds,1,1
