Value,Disaggregation combinations using this value,Number of indicators
GKMA,3,1
Greater Kingston Metropolitan Area,1,1
Jamaica,1,1
KMA,6,1
Other Towns,6,1
Other Urban Centres,1,1
OUC,3,1
Rural,10,2
Urban,10,2
