Indicator,Disaggregation combinations using this value
#1-3-1,12
#1-5-4,1
#10-4-1,3
#11-b-1,1
#11-b-2,1
#12-2-2,1
#12-5-1,33
#13-1-2,1
#13-1-3,1
#14-1-1,13
#14-7-1,1
#16-5-1,1
#2-1-2,4
#3-a-1,2
#6-6-1,4
