Value,Disaggregation combinations using this value,Number of indicators
Adult,1,1
Children,1,1
Elderly,1,1
Female,18,1
Fourth,1,1
Male,18,1
Middle,1,1
Persons with disabilities,1,1
Poorest,1,1
Pregnant and Lactating Women,1,1
Richest,1,1
Second,1,1
Total,43,1
