Value,Disaggregation combinations using this value,Number of indicators
Proportion of Household that used Gas and Electricity for Cooking,4,1
Proportion of Population with Primary Reliance on Clean Fuels and Technology for Cooking,5,1
Proportion of Population with Primary Reliance on Clean Fuels and Technology for Lighting,5,1
Proportion of Population with Primary Reliance on Clean Fuels and Technology for both Cooking and Lighting,5,1
