Value,Disaggregation combinations using this value,Number of indicators
Bagasse,1,1
Coal,1,1
Hydropower,1,1
Natural Gas,1,1
Per cent Renewable Share,1,1
Petroleum,1,1
Solar,1,1
Total Alternative Energy,1,1
Total,1,1
Wind,1,1
