Value,Disaggregation combinations using this value,Number of indicators
Air Pollution Combined,1,1
Fish Kill,1,1
Improper waste disposal,1,1
Oil Spills,1,1
Other,1,1
Sewage Discharge,1,1
Sewage Odour,1,1
Spills,1,1
To be determined,1,1
Total,1,1
Trade Effluent Discharge (uncontrolled),1,1
Water Pollution/fire control run off,1,1
