Value,Disaggregation combinations using this value,Number of indicators
Mortality attributed to cardiovascular disease cancer diabetes or chronic respiratory disease (Number),1,1
Mortality rate attributed to cardiovascular disease cancer diabetes or chronic respiratory disease,1,1
