Indicator
#1-3-1
#1-5-1
#1-5-4
#1-a-2
#10-4-1
#10-b-1
#11-6-1
#11-6-2
#11-7-2
#11-b-1
#11-b-2
#12-2-2
#12-4-2
#12-5-1
#13-1-1
#13-1-3
#14-1-1
#14-2-1
#14-5-1
#14-7-1
#15-1-1
#15-1-2
#15-4-2
#16-1-1
#16-2-2
#16-3-2
#16-4-1
#16-4-2
#16-5-1
#17-1-1
#17-1-2
#17-11-1
#17-3-1
#17-3-2
#17-6-1
#17-6-2
#2-1-2
#2-a-2
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-4-2
#3-6-1
#3-7-2
#3-9-2
#3-a-1
#3-b-2
#3-c-1
#3-d-1
#4-6-1
#6-6-1
#6-a-1
#7-2-1
#7-b-1
#8-10-1
#9-1-2
