Value,Disaggregation combinations using this value,Number of indicators
All Three Types of Violence,32,1
Any type of Violence,31,1
Economic Violence,3,1
Emotional Violence,6,1
No Violence,15,1
None,2,1
Physical and or sexual Violence,6,1
Physical and/or Sexual Violence Violence,10,1
Physical and/or Sexual Violence,24,1
Physical or Sexual Violence,32,1
Physical Violence,70,1
Sexual Violence,68,1
Verbal Violence,32,1
