Value,Disaggregation combinations using this value,Number of indicators
Indoor Persons Registered on Poor Relief Programme,28,1
Outdoor Persons Registered on Poor Relief Programme,56,1
Persons Registered with the National Insurance Scheme,6,1
Population covered by PATH,6,1
Registered with Jamaica Drugs for the Elderly Programme,6,1
Registered with the National Health Fund,6,1
