Value,Disaggregation combinations using this value,Number of indicators
Number of local governments that have adopted and implemented local DRR strategies in line with national strategies,1,1
Percentage of local governments that have adopted and implemented local disaster risk reduction strategies in line with national strategies,1,1
Total Number of local governments,1,1
