Value,Disaggregation combinations using this value,Number of indicators
Number of deaths by unintentional poisoning,1,1
Proportion of deaths by unintentional poisoning,1,1
Proportion of respondents covered by health insurance,6,1
Proportion of the rural population that live within 2km of a Highway,1,1
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,11,1
Suicide rate,16,1
