Value,Disaggregation combinations using this value,Number of indicators
Growth rate of Tourism direct GDP,1,1
Tourism direct GDP as a proportion of total GDP,1,1
Tourism direct GVA as a proportion of total GVA,1,1
Tourism  GDP (direct),1,1
Tourism GVA (direct),1,1
