Value,Disaggregation combinations using this value,Number of indicators
BCG,1,1
DPT 1,1,1
DPT 2,1,1
DPT 3,1,1
Measles,1,1
Polio 1,1,1
Polio 2,1,1
Polio 3,1,1
Vaccinated at any time before the survey,54,1
Vaccinated between 12-23 months of age,5,1
Vaccinated by 12 months of age,28,1
