Value,Disaggregation combinations using this value,Number of indicators
14-19,12,1
20-24,12,1
25-34,12,1
35-44,12,1
45-54,12,1
55-64,12,1
65 and over,12,1
Prime Working Age (25-54 yrs),8,1
Total,12,1
Unemployment Rate by Sociodemographic Characteristics,4,1
Unemployment Rate,8,1
Youth (15-24 yrs),8,1
