Value,Disaggregation combinations using this value,Number of indicators
Clarendon,9,3
Hanover,9,3
Jamaica,6,2
Kingston and St Andrew,5,1
Kingston,4,2
Manchester,9,3
Portland,9,3
Portmore,5,1
St Andrew,1,1
St. Andrew,3,1
St Ann,6,2
St. Ann,3,1
St Catherine,6,2
St. Catherine,3,1
St Elizabeth,6,2
St. Elizabeth,3,1
St James,6,2
St. James,3,1
St Mary,6,2
St. Mary,3,1
St Thomas,6,2
St. Thomas,3,1
Trelawny,9,3
Westmoreland,9,3
