Value,Disaggregation combinations using this value,Number of indicators
Clarendon,6,1
Greater Kingston Metropolitan Area (GKMA),1,1
Greater Kingston Metropolitan Area,4,1
Hanover,6,1
Jamaica,21,5
Kingston & St Andrew,6,1
Manchester,6,1
Other Urban Centre,3,1
Other Urban Centres,2,2
Portland,6,1
Rural Area,1,1
Rural,4,1
St Ann,6,1
St Catherine,6,1
St Elizabeth,6,1
St James,6,1
St Mary,6,1
St Thomas,6,1
Trelawny,6,1
Urban,1,1
Westmoreland,6,1
