Value,Disaggregation combinations using this value,Number of indicators
Clarendon,3,1
Hanover,3,1
Jamaica,7,1
Kingston and St. Andrew,3,1
Manchester,3,1
Persons Affected,15,1
Persons Dead,15,1
Persons Injured,9,1
Persons Missing,9,1
Portland,3,1
St Ann,3,1
St Catherine,3,1
St Elizabeth,3,1
St James,3,1
St Mary,3,1
St. Thomas,3,1
Total Adults,3,1
Total Children,3,1
Total,3,1
Trelawny,3,1
Westmoreland,3,1
