Indicator,Disaggregation combinations using this value
#1-2-1,1
#16-1-1,2
#16-1-4,2
#16-2-1,5
#16-7-1,2
#17-8-1,1
#2-2-1,1
#2-2-2,1
#3-3-1,2
#3-4-2,1
#3-5-1,1
#3-5-2,1
#3-8-2,1
#4-1-1,27
#4-1-2,3
#4-2-1,7
#4-2-2,3
#4-6-1,1
#5-5-1,3
#5-b-1,1
#8-3-1,12
#8-5-2,44
#8-6-1,4
#8-7-1,1
#9-2-2,4
