Value,Disaggregation combinations using this value,Number of indicators
Fatal Injuries,3,1
Generating Capacity,1,1
Hydro Technology,1,1
Net Billing (Solar),1,1
Non-Fatal Injuries,3,1
Other arrangements,1,1
Population,1,1
Renewable Energy Watts Per Capita,1,1
Solar,1,1
Total,1,1
Wind,1,1
