Indicator
#10-1-1
#10-b-1
#13-1-1
#13-1-2
#13-1-3
#14-7-1
#15-4-1
#15-4-2
#17-1-1
#17-1-2
#17-3-1
#17-3-2
#17-6-1
#5-5-2
#6-3-1
#6-3-2
#6-4-2
#6-6-1
#6-a-1
#indicator-5-5-2
