Value,Disaggregation combinations using this value,Number of indicators
Cropland,6,1
Forest,5,1
Grassland,6,1
MGC,2,1
MGCI All,2,1
MGCI,4,1
Other Land,6,1
Settlement,6,1
Wetland,6,1
