Year,Type of Species,Status,Value
2018,Plants,Endangered,56.0
2019,Plants,Endangered,56.0
2020,Plants,Endangered,54.0
2021,Plants,Endangered,55.0
2016,Plants,Vulnerable,118.0
2017,Plants,Vulnerable,118.0
2018,Plants,Vulnerable,118.0
2019,Plants,Vulnerable,118.0
2020,Plants,Vulnerable,118.0
2021,Plants,Vulnerable,116.0
2016,Plants,Near Threatened,75.0
2017,Plants,Near Threatened,75.0
2018,Plants,Near Threatened,76.0
2020,Plants,Near Threatened,77.0
2021,Plants,Near Threatened,76.0
2016,Plants,Data Deficient,7.0
2017,Plants,Data Deficient,7.0
2018,Plants,Data Deficient,7.0
2019,Plants,Data Deficient,7.0
2020,Plants,Data Deficient,7.0
2021,Plants,Data Deficient,8.0
2016,Plants,Least Concern,135.0
2017,Plants,Least Concern,146.0
2018,Plants,Least Concern,184.0
2019,Plants,Least Concern,195.0
2020,Plants,Least Concern,435.0
2021,Plants,Least Concern,499.0
2016,Plants,Total,433.0
2017,Plants,Total,444.0
2018,Plants,Total,484.0
2019,Plants,Total,495.0
2020,Plants,Total,736.0
2021,Plants,Total,798.0
2019,Mammals,Threatened,7.0
2022,Mammals,Threatened,7.0
2019,Birds,Threatened,10.0
2022,Birds,Threatened,10.0
2019,Reptiles*,Threatened,28.0
2022,Reptiles*,Threatened,29.0
2019,Amphibians,Threatened,20.0
2022,Amphibians,Threatened,20.0
2019,Fishes*,Threatened,46.0
2022,Fishes*,Threatened,48.0
2019,Molluscs*,Threatened,0.0
2022,Molluscs*,Threatened,0.0
2019,Other Inverts*,Threatened,15.0
2022,Other Inverts*,Threatened,30.0
2019,Plants*,Threatened,215.0
2022,Plants*,Threatened,214.0
2019,Fungi*,Threatened,0.0
2022,Fungi*,Threatened,0.0
2019,Chromists*,Threatened,0.0
2022,Chromists*,Threatened,0.0
2019,Total,Threatened,341.0
2022,Total,Threatened,358.0
