Year,Indicator,Geographical Area,Sex,Unit,Value
2018,Suicide rate,St Elizabeth,,per 100 000 population,3.29
2019,Suicide rate,St Elizabeth,,per 100 000 population,1.97
2020,Suicide rate,St Elizabeth,,per 100 000 population,3.95
2021,Suicide rate,St Elizabeth,,per 100 000 population,0.0
2022,Suicide rate,St Elizabeth,,per 100 000 population,5.92
2014,Suicide rate,Manchester,,per 100 000 population,3.66
2015,Suicide rate,Manchester,,per 100 000 population,4.69
2016,Suicide rate,Manchester,,per 100 000 population,1.56
2017,Suicide rate,Manchester,,per 100 000 population,2.61
2018,Suicide rate,Manchester,,per 100 000 population,3.13
2019,Suicide rate,Manchester,,per 100 000 population,4.7
2020,Suicide rate,Manchester,,per 100 000 population,1.57
2021,Suicide rate,Manchester,,per 100 000 population,0.52
2022,Suicide rate,Manchester,,per 100 000 population,0.52
2014,Suicide rate,Clarendon,,per 100 000 population,1.62
2015,Suicide rate,Clarendon,,per 100 000 population,1.62
2016,Suicide rate,Clarendon,,per 100 000 population,2.02
2017,Suicide rate,Clarendon,,per 100 000 population,1.22
2018,Suicide rate,Clarendon,,per 100 000 population,2.83
2019,Suicide rate,Clarendon,,per 100 000 population,2.83
2020,Suicide rate,Clarendon,,per 100 000 population,0.4
2021,Suicide rate,Clarendon,,per 100 000 population,2.02
2022,Suicide rate,Clarendon,,per 100 000 population,0.81
2014,Suicide rate,St Catherine,,per 100 000 population,1.54
2015,Suicide rate,St Catherine,,per 100 000 population,1.92
2016,Suicide rate,St Catherine,,per 100 000 population,1.53
2017,Suicide rate,St Catherine,,per 100 000 population,0.96
2018,Suicide rate,St Catherine,,per 100 000 population,0.96
2019,Suicide rate,St Catherine,,per 100 000 population,1.15
2020,Suicide rate,St Catherine,,per 100 000 population,1.34
2021,Suicide rate,St Catherine,,per 100 000 population,1.92
2022,Suicide rate,St Catherine,,per 100 000 population,2.31
2014,Suicide rate,,Male,per 100 000 population,3.26
2015,Suicide rate,,Male,per 100 000 population,3.8
2016,Suicide rate,,Male,per 100 000 population,3.7
2017,Suicide rate,,Male,per 100 000 population,3.1
2018,Suicide rate,,Male,per 100 000 population,3.6
2019,Suicide rate,,Male,per 100 000 population,3.8
2020,Suicide rate,,Male,per 100 000 population,2.7
2021,Suicide rate,,Male,per 100 000 population,3.3
2022,Suicide rate,,Male,per 100 000 population,4.3
2023,Suicide rate,,Male,per 100 000 population,4.1
2024,Suicide rate,,Male,per 100 000 population,4.5
2014,Suicide rate,,Female,per 100 000 population,0.58
2015,Suicide rate,,Female,per 100 000 population,0.6
2016,Suicide rate,,Female,per 100 000 population,0.4
2017,Suicide rate,,Female,per 100 000 population,0.4
2018,Suicide rate,,Female,per 100 000 population,0.9
2019,Suicide rate,,Female,per 100 000 population,0.5
2020,Suicide rate,,Female,per 100 000 population,0.4
2021,Suicide rate,,Female,per 100 000 population,0.5
2022,Suicide rate,,Female,per 100 000 population,0.4
2023,Suicide rate,,Female,per 100 000 population,0.7
2024,Suicide rate,,Female,per 100 000 population,0.4
