Year,Indicator,Sex,Unit,Value
2021,"Percentage of Persons 15-49 years who Currently use or Smoked a Tobacco Product",Male,Per cent,15.7
2021,"Percentage of Persons 15-49 years who Currently use or Smoked a Tobacco Product",Female,Per cent,6.1
2022,"Percentage of Persons 15-49 years who Currently use or Smoked a Tobacco Product",Female,Per cent,6.4
