Year,Type of Benefit,Geographic Region,Population Group,Unit,Value
2021,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,"per 100,000 population",42.1
2021,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,"per 100,000 population",27.65
2021,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,"per 100,000 population",31.82
2021,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,"per 100,000 population",45.72
2021,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",18.44
2021,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",41.94
2022,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,No Survey
2022,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,No Survey
2022,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,No Survey
2022,Persons Registered with the National Insurance Scheme,Rural,,per cent,No Survey
2022,Persons Registered with the National Insurance Scheme,,Male,per cent,No Survey
2022,Persons Registered with the National Insurance Scheme,,Female,per cent,No Survey
2022,Population covered by PATH,Jamaica,,per cent,9.9
2022,Population covered by PATH,,Children,per cent,23.1
2022,Population covered by PATH,,Adult,per cent,1.1
2022,Population covered by PATH,,Persons with disabilities,per cent,0.6
2022,Population covered by PATH,,Elderly,per cent,16.5
2022,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.1
2022,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Male,Number,1534
2022,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Female,Number,1585
2022,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,3119
2022,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Male,Number,272
2022,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Female,Number,354
2022,Outdoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,626
2022,Outdoor Persons Registered on Poor Relief Programme,Portland,Male,Number,478
2022,Outdoor Persons Registered on Poor Relief Programme,Portland,Female,Number,578
2022,Outdoor Persons Registered on Poor Relief Programme,Portland,Total,Number,1056
2022,Outdoor Persons Registered on Poor Relief Programme,St Mary,Male,Number,353
2022,Outdoor Persons Registered on Poor Relief Programme,St Mary,Female,Number,214
2022,Outdoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,567
2022,Outdoor Persons Registered on Poor Relief Programme,St Ann,Male,Number,388
2022,Outdoor Persons Registered on Poor Relief Programme,St Ann,Female,Number,308
2022,Outdoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,696
2022,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Male,Number,329
2022,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Female,Number,260
2022,Outdoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,589
2022,Outdoor Persons Registered on Poor Relief Programme,St James,Male,Number,778
2022,Outdoor Persons Registered on Poor Relief Programme,St James,Female,Number,666
2022,Outdoor Persons Registered on Poor Relief Programme,St James,Total,Number,1444
2022,Outdoor Persons Registered on Poor Relief Programme,Hanover,Male,Number,368
2022,Outdoor Persons Registered on Poor Relief Programme,Hanover,Female,Number,382
2022,Outdoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,750
2022,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Male,Number,292
2022,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Female,Number,223
2022,Outdoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,515
2022,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Male,Number,323
2022,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Female,Number,327
2022,Outdoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,650
2022,Outdoor Persons Registered on Poor Relief Programme,Manchester,Male,Number,364
2022,Outdoor Persons Registered on Poor Relief Programme,Manchester,Female,Number,246
2022,Outdoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,600
2022,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Male,Number,648
2022,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Female,Number,566
2022,Outdoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,1214
2022,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Male,Number,1159
2022,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Female,Number,886
2022,Outdoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,2045
2022,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,7286
2022,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,6595
2022,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,13871
2022,Outdoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,,per 100.000 population,440
2022,Outdoor Persons Registered on Poor Relief Programme,St Thomas,,per 100.000 population,55
2022,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,463.2
2022,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,Number,440
2022,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,Number,55
2022,Indoor Persons Registered on Poor Relief Programme,Portland,Total,Number,45
2022,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,Number,71
2022,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,Number,86
2022,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,Number,46
2022,Indoor Persons Registered on Poor Relief Programme,St James,Total,Number,48
2022,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,Number,40
2022,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,Number,60
2022,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,Number,49
2022,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,Number,63
2022,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,Number,106
2022,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,Number,115
2022,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,1224
2022,Indoor Persons Registered on Poor Relief Programme,Kingston & St Andrew,Total,"per 100,000 population",66.41
2022,Indoor Persons Registered on Poor Relief Programme,St Thomas,Total,"per 100,000 population",58.27
2022,Indoor Persons Registered on Poor Relief Programme,Portland,Total,"per 100,000 population",55.57
2022,Indoor Persons Registered on Poor Relief Programme,St Mary,Total,"per 100,000 population",61.74
2022,Indoor Persons Registered on Poor Relief Programme,St Ann,Total,"per 100,000 population",48.66
2022,Indoor Persons Registered on Poor Relief Programme,Trelawny,Total,"per 100,000 population",58.75
2022,Indoor Persons Registered on Poor Relief Programme,St James,Total,"per 100,000 population",25.09
2022,Indoor Persons Registered on Poor Relief Programme,Hanover,Total,"per 100,000 population",55.27
2022,Indoor Persons Registered on Poor Relief Programme,Westmoreland,Total,"per 100,000 population",40.1
2022,Indoor Persons Registered on Poor Relief Programme,St Elizabeth,Total,"per 100,000 population",32.25
2022,Indoor Persons Registered on Poor Relief Programme,Manchester,Total,"per 100,000 population",32.87
2022,Indoor Persons Registered on Poor Relief Programme,Clarendon,Total,"per 100,000 population",42.89
2022,Indoor Persons Registered on Poor Relief Programme,St Catherine,Total,"per 100,000 population",22.09
2022,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",46.1
2022,,,Total,Per cent,69.9
2022,,,Male,Per cent,61.9
2022,,,Female,Per cent,75.7
2022,,Urban,,Per cent,67.7
2022,,Greater Kingston Metropolitan Area,,Per cent,68
2022,,Other Urban Centres,,Per cent,67.1
2022,,Rural,,Per cent,72.4
2022,,,Poorest,Per cent,72.4
2022,,,Second,Per cent,72.4
2022,,,Middle,Per cent,69.9
2022,,,Fourth,Per cent,68.4
2022,,,Richest,Per cent,66.4
2023,Persons Registered with the National Insurance Scheme,Jamaica,,per cent,51.3
2023,Persons Registered with the National Insurance Scheme,Greater Kingston Metropolitan Area,,per cent,65.4
2023,Persons Registered with the National Insurance Scheme,Other Urban Centre,,per cent,51.0
2023,Persons Registered with the National Insurance Scheme,Rural,,per cent,43.7
2023,Persons Registered with the National Insurance Scheme,,Male,per cent,53.4
2023,Persons Registered with the National Insurance Scheme,,Female,per cent,49.4
2023,Population covered by PATH,Jamaica,,per cent,8.9
2023,Population covered by PATH,,Children,per cent,18.6
2023,Population covered by PATH,,Adult,per cent,1.4
2023,Population covered by PATH,,Persons with disabilities,per cent,0.6
2023,Population covered by PATH,,Elderly,per cent,16.8
2023,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.1
2023,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,7315
2023,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,6475
2023,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,13790
2023,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,504.7
2023,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",44.79
2024,Population covered by PATH,Jamaica,,per cent,8.8
2024,Population covered by PATH,,Children,per cent,18.0
2024,Population covered by PATH,,Adult,per cent,1.4
2024,Population covered by PATH,,Persons with disabilities,per cent,0.6
2024,Population covered by PATH,,Elderly,per cent,17.2
2024,Population covered by PATH,,Pregnant and Lactating Women,per cent,0.1
2024,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Male,Number,7248
2024,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Female,Number,6416
2024,Outdoor Persons Registered on Poor Relief Programme,Jamaica,Total,Number,13664
2024,Outdoor Persons Registered on Poor Relief Programme,Jamaica,,per 100.000 population,500.0
2024,Indoor Persons Registered on Poor Relief Programme,Jamaica,Total,"per 100,000 population",47.3
