Year,Category,Unit,Value
2015,National average score for the adoption and implementation of national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Per cent,0.58
2016,National average score for the adoption and implementation of national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Per cent,0.58
2017,National average score for the adoption and implementation of national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Per cent,0.58
2018,National average score for the adoption and implementation of national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Per cent,0.58
2019,National average score for the adoption and implementation of national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Per cent,0.65
2020,National average score for the adoption and implementation of national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Per cent,0.73
2021,National average score for the adoption and implementation of national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Per cent,0.73
2022,National average score for the adoption and implementation of national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030,Per cent,0.93
