Year,Description,Geographical Region,Sex,Unit,Value
2022,Type of Weapon - Sharp Instrument,Jamaica,Total,Number,107
2023,Type of Weapon - Sharp Instrument,Jamaica,Total,Number,88
2024,Type of Weapon - Sharp Instrument,Jamaica,Total,Number,61
2018,Type of Weapon - Other,Jamaica,Total,Number,167
2019,Type of Weapon - Other,Jamaica,Total,Number,137
2020,Type of Weapon - Other,Jamaica,Total,Number,131
2021,Type of Weapon - Other,Jamaica,Total,Number,136
2022,Type of Weapon - Other,Jamaica,Total,Number,140
2023,Type of Weapon - Other,Jamaica,Total,Number,124
2024,Type of Weapon - Other,Jamaica,Total,Number,112
2010,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",40.7
2011,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",29.3
2012,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",28.7
2013,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",32.5
2014,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",26.3
2015,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",36.0
2016,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",40.3
2017,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",49.2
2018,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",37.1
2019,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",41.0
2020,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",40.9
2021,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",45.7
2022,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",46.3
2023,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",35.5
2024,Type of Weapon - Gun,Jamaica,Total,"Per 100,000 population",43.6
2010,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",8.9
2011,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",8.2
2012,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",8.2
2013,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",8
2014,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",6.5
2015,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",5.7
2016,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",5.8
2017,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",6.2
2018,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",5.6
2019,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",3.1
2020,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",3.1
2021,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",3.3
2022,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",3.9
2023,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",2.2
2024,Type of Weapon - Sharp Instrument,Jamaica,Total,"Per 100,000 population",3.2
2011,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",0
2012,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",0.1
2013,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",0.1
2014,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",4.2
2015,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",2.6
2016,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",3.6
2017,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",4.9
2018,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",4.4
2019,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",5.0
2020,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",4.8
2021,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",5.0
2022,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",5.1
2023,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",4.1
2024,Type of Weapon - Other,Jamaica,Total,"Per 100,000 population",4.5
2010,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",2.2
2011,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",3.8
2012,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",3.8
2013,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",2.8
2014,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",1.9
2015,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",0.8
2016,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",0.9
2018,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",1.4
2019,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",1.1
2020,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",0.5
2021,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",1.1
2022,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",0.9
2023,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",0.7
2024,Situational Context - By Intimate Partner or Family Member,Jamaica,Total,"Per 100,000 population",0.3
2018,Situational Context - Committed by Others including Acquaintances,Jamaica,Total,"Per 100,000 population",45.9
2019,Situational Context - Committed by Others including Acquaintances,Jamaica,Total,"Per 100,000 population",49
2020,Situational Context - Committed by Others including Acquaintances,Jamaica,Total,"Per 100,000 population",48.3
2021,Situational Context - Committed by Others including Acquaintances,Jamaica,Total,"Per 100,000 population",52.9
2022,Situational Context - Committed by Others including Acquaintances,Jamaica,Total,"Per 100,000 population",54.4
2023,Situational Context - Committed by Others including Acquaintances,Jamaica,Total,"Per 100,000 population",50.7
2024,Situational Context - Committed by Others including Acquaintances,Jamaica,Total,"Per 100,000 population",41.7
