Year,Quarter,Type of employment,Sex,Value
2022,October,Formal,Total,n.a
2022,October,Informal,Male,n.a
2022,October,Informal,Female,n.a
2022,October,Informal,Total,n.a
2022,October,Agriculture,Male,n.a
2022,October,Agriculture,Female,n.a
2022,October,Agriculture,Total,n.a
2024,January,Formal,Total,19690
2024,January,Informal,Total,175576
2024,January,Agriculture,Total,195266
2024,April,Formal,Total,18842
2024,April,Informal,Total,178747
2024,April,Agriculture,Total,197589
2024,July,Formal,Total,16884
2024,July,Informal,Total,184148
2024,July,Agriculture,Total,201032
2024,October,Formal,Total,15239
2024,October,Informal,Total,186169
2024,October,Agriculture,Total,201408
2025,January,Formal,Total,17124
2025,January,Informal,Total,175450
2025,January,Agriculture,Total,192574
2025,April,Formal,Total,21709
2025,April,Informal,Total,169922
2025,April,Agriculture,Total,191631
2025,July,Formal,Total,18619
2025,July,Informal,Total,174959
2025,July,Agriculture,Total,193578
2025,October,Formal,Total,n.a
2025,October,Informal,Total,n.a
2025,October,Agriculture,Total,n.a
