Year,Type of mineral,Unit,Value
2016,Steam & Slow Speed Plants,('000 Mwh),1668.3
2016,Gas Turbines & Combined Cycle Plant,('000 Mwh),770
2016,Hydro,('000 Mwh),118.7
2016,Purchase from Independent Power Producers (IIPs),('000 Mwh),1786.6
2016,Total,('000 Mwh),4343.6
2016,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),58.9
2016,Percentage Contribution of IIPs,(%),41.1
2016,Lossess & Accounted for,('000 MWh),1159.9
2016,System losses as a percentage of net generation,(%),27
2017,Steam & Slow Speed Plants,('000 Mwh),1466.7
2017,Gas Turbines & Combined Cycle Plant,('000 Mwh),912.4
2017,Hydro,('000 Mwh),154.2
2017,Purchase from Independent Power Producers (IIPs),('000 Mwh),1827.3
2017,Total,('000 Mwh),4360.6
2017,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),58.1
2017,Percentage Contribution of IIPs,(%),41.9
2017,Lossess & Accounted for,('000 MWh),1151.6
2017,System losses as a percentage of net generation,(%),26
2018,Steam & Slow Speed Plants,('000 Mwh),1354.6
2018,Gas Turbines & Combined Cycle Plant,('000 Mwh),1026.7
2018,Hydro,('000 Mwh),179.2
2018,Purchase from Independent Power Producers (IIPs),('000 Mwh),1795.1
2018,Total,('000 Mwh),4355.5
2018,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),58.8
2018,Percentage Contribution of IIPs,(%),41.2
2018,Lossess & Accounted for,('000 MWh),1144
2018,System losses as a percentage of net generation,(%),26
2021,Bauxite,('000 Tonnes),5950
2021,Alumina,('000 Tonnes),1158
2021,Silica Sand,('000 Tonnes),31
2021,Limestone,('000 Tonnes),2711
2021,Sand and Gravel,('000 Tonnes),1912
2021,Marl and Fill,('000 Tonnes),505
2021,Shale,('000 Tonnes),129
2021,Pozzolan,('000 Tonnes),132
2021,Clay,('000 Tonnes),0
2021,Gypsum,('000 Tonnes),66
