Year,Geographical Region,Value
2015,Jamaica,-1.1
2016,Jamaica,-0.3
2017,Jamaica,0.9
2018,Jamaica,1.7
2019,Jamaica,-0.7
2020,Jamaica,3.7
2021,Jamaica,-0.5
2022,Jamaica,4.8
2023,Jamaica,-1.3
