Year,Monitored Area,Unit,Value
2019,Relocation 1,Health Index,2
2019,Oyster Bay,Health Index,2.5
2019,Peter Tosh Reef,Health Index,2.5
2023,Peter Tosh Reef,Health Index,2.0
2023,Sunset Beach Mooring,Health Index,1.5
2019,Sandals Reef,Health Index,2.3
2019,El Punto Negrilo,Health Index,2.5
2023,El Punto Negrilo,Health Index,1.5
2019,Bloody Bay,Health Index,2.5
2023,Bloody Bay,Health Index,2.0
2019,Ireland Pen,Health Index,2.8
2021,Ireland Pen,Health Index,1.5
2023,Ireland Pen,Health Index,1.8
2021,Sandals Reef 2,Health Index,1.5
2023,Sandals Reef 2,Health Index,2.5
2019,Round Hill,Health Index,2.8
2020,Round Hill,Health Index,1.8
2023,Round Hill,Health Index,1.8
2018,Kingston,,9
2018,Portland,,5
2018,Trelawny,,2
2018,Westmoreland,,2
2018,Negril (Hanover/Westmoreland),,14
2018,Clarendon,,2
2018,St Catherine,,5
2018,St James,,4
2017,Kingston,,52.5
2018,Kingston,,48.4
2021,Kingston,,49.39
2022,Kingston,,46.27
2017,Portland,,25.3
2018,Portland,,25.4
2021,Portland,,18.42
2022,Portland,,18.66
2017,Trelawny,,18.3
2018,Trelawny,,19.0
2021,Trelawny,,23.45
2022,Trelawny,,20.54
2017,Westmoreland,,15.3
2018,Westmoreland,,15.2
2021,Westmoreland,,12.97
2022,Westmoreland,,13.80
2017,Negril (Hanover/Westmoreland),,36.3
2018,Negril (Hanover/Westmoreland),,32.6
2021,Negril (Hanover/Westmoreland),,31.37
2022,Negril (Hanover/Westmoreland),,30.62
2017,Clarendon,,27.2
2018,Clarendon,,28.9
2021,Clarendon,,29.46
2022,Clarendon,,24.66
2017,Hellshire,,0
2021,Hellshire,,39.84
2022,Hellshire,,36.46
2017,St Catherine,,0
2018,St Catherine,,41.2
2021,St James,,24.87
2022,St James,,26.46
2021,Negril (Special Monitoring),,17.06
2022,Negril (Special Monitoring),,19.73
2018,Average,,30.1
2021,Average,,27.43
2022,Average,,26.36
1999-2017,Average,,29.1
