Year,Event,Units,Value
2019,Death due to fire - St Ann,Number,3
2020,Death due to fire - St Ann,Number,5
2021,Death due to fire - St Ann,Number,2
2022,Death due to fire - St Ann,Number,2
2019,Death due to fire - Trelawny,Number,1
2020,Death due to fire - Trelawny,Number,0
2021,Death due to fire - Trelawny,Number,1
2022,Death due to fire - Trelawny,Number,0
2019,Death due to fire - St James,Number,4
2020,Death due to fire - St James,Number,3
2021,Death due to fire - St James,Number,8
2022,Death due to fire - St James,Number,6
2019,Death due to fire - Hanover,Number,0
2020,Death due to fire - Hanover,Number,2
2021,Death due to fire - Hanover,Number,0
2022,Death due to fire - Hanover,Number,0
2019,Death due to fire - Westmoreland,Number,1
2020,Death due to fire - Westmoreland,Number,5
2021,Death due to fire - Westmoreland,Number,5
2022,Death due to fire - Westmoreland,Number,4
2019,Death due to fire - St Elizabeth,Number,3
2020,Death due to fire - St Elizabeth,Number,0
2021,Death due to fire - St Elizabeth,Number,6
2022,Death due to fire - St Elizabeth,Number,3
2019,Death due to fire - Manchester,Number,3
2020,Death due to fire - Manchester,Number,6
2021,Death due to fire - Manchester,Number,4
2022,Death due to fire - Manchester,Number,0
2019,Death due to fire - Clarendon,Number,0
2020,Death due to fire - Clarendon,Number,0
2021,Death due to fire - Clarendon,Number,1
2022,Death due to fire - Clarendon,Number,4
2019,Death due to fire - St Catherine,Number,4
2020,Death due to fire - St Catherine,Number,0
2021,Death due to fire - St Catherine,Number,3
2022,Death due to fire - St Catherine,Number,2
2019,Death due to fire - Total,Number,35
2020,Death due to fire - Total,Number,31
2021,Death due to fire - Total,Number,42
2022,Death due to fire - Total,Number,24
2019,Injuries due to fire - Kingston and St. Andrew,Number,30
2020,Injuries due to fire - Kingston and St. Andrew,Number,31
2021,Injuries due to fire - Kingston and St. Andrew,Number,24
2022,Injuries due to fire - Kingston and St. Andrew,Number,14
2019,Injuries due to fire - St. Thomas,Number,0
2020,Injuries due to fire - St. Thomas,Number,0
2021,Injuries due to fire - St. Thomas,Number,0
2022,Injuries due to fire - St. Thomas,Number,1
2019,Injuries due to fire - Portland,Number,1
2020,Injuries due to fire - Portland,Number,0
2021,Injuries due to fire - Portland,Number,1
2022,Injuries due to fire - Portland,Number,4
2019,Injuries due to fire - St Mary,Number,0
2020,Injuries due to fire - St Mary,Number,4
2021,Injuries due to fire - St Mary,Number,0
2022,Injuries due to fire - St Mary,Number,2
2019,Injuries due to fire - St Ann,Number,5
2020,Injuries due to fire - St Ann,Number,0
2021,Injuries due to fire - St Ann,Number,2
2022,Injuries due to fire - St Ann,Number,2
2019,Injuries due to fire - Trelawny,Number,3
2020,Injuries due to fire - Trelawny,Number,0
2021,Injuries due to fire - Trelawny,Number,0
2022,Injuries due to fire - Trelawny,Number,6
2019,Injuries due to fire - St James,Number,10
2020,Injuries due to fire - St James,Number,21
2021,Injuries due to fire - St James,Number,16
2022,Injuries due to fire - St James,Number,4
2019,Injuries due to fire - Hanover,Number,2
2020,Injuries due to fire - Hanover,Number,1
2021,Injuries due to fire - Hanover,Number,1
2022,Injuries due to fire - Hanover,Number,0
2019,Injuries due to fire - Westmoreland,Number,3
2020,Injuries due to fire - Westmoreland,Number,4
2021,Injuries due to fire - Westmoreland,Number,11
2022,Injuries due to fire - Westmoreland,Number,8
2019,Injuries due to fire - St Elizabeth,Number,0
2020,Injuries due to fire - St Elizabeth,Number,1
2021,Injuries due to fire - St Elizabeth,Number,5
2022,Injuries due to fire - St Elizabeth,Number,7
2019,Injuries due to fire - Manchester,Number,1
2020,Injuries due to fire - Manchester,Number,14
2021,Injuries due to fire - Manchester,Number,22
2022,Injuries due to fire - Manchester,Number,1
2019,Injuries due to fire - Clarendon,Number,0
2020,Injuries due to fire - Clarendon,Number,0
2021,Injuries due to fire - Clarendon,Number,0
2022,Injuries due to fire - Clarendon,Number,0
2019,Injuries due to fire - St Catherine,Number,5
2020,Injuries due to fire - St Catherine,Number,13
2021,Injuries due to fire - St Catherine,Number,4
2022,Injuries due to fire - St Catherine,Number,0
2019,Injuries due to fire - Total,Number,60
2020,Injuries due to fire - Total,Number,89
2021,Injuries due to fire - Total,Number,86
2022,Injuries due to fire - Total,Number,49
2019,Homeless due to fire - Kingston and St. Andrew,Number,890
2020,Homeless due to fire - Kingston and St. Andrew,Number,733
2021,Homeless due to fire - Kingston and St. Andrew,Number,633
2022,Homeless due to fire - Kingston and St. Andrew,Number,605
2019,Homeless due to fire - St. Thomas,Number,25
2020,Homeless due to fire - St. Thomas,Number,55
