Financial soundness indicators,Financial soundness indicators-deposit-taking institution,Institution Type,Value,Year
Financial soundness indicators,Interest margin to income,Deposit-taking Institution,37.8,2024
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,27.4,2015
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,23,2016
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,75.8,2017
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,69.6,2018
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,22,2019
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,22.8,2020
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,23.4,2021
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,17.9,2022
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,54,2023
Financial soundness indicators,Non-interest expenses to income,Deposit-taking Institution,53.7,2024
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,26.3,2015
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,25.3,2016
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,26.2,2017
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,28.6,2018
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,20.7,2019
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,23.8,2020
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,21.9,2021
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,21.4,2022
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,20.8,2023
Financial soundness indicators,Liquid assets to total assets,Deposit-taking Institution,20.2,2024
Financial soundness indicators,Duration on assets -Domestic Bonds,Deposit-taking Institution,0,2015
Financial soundness indicators,Duration on assets -Domestic Bonds,Deposit-taking Institution,1.7,2019
Financial soundness indicators,Duration on assets- Global Bonds,Deposit-taking Institution,0,2015
Financial soundness indicators,Duration on assets- Global Bonds,Deposit-taking Institution,2.5,2019
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,3.5,2015
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,3.5,2016
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,10.6,2017
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,10.1,2018
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,-10.8,2019
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,-26.0,2020
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,-15.5,2021
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,-10.0,2022
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,-9.6,2023
Financial soundness indicators,NOP to capital (Regulatory),Deposit-taking Institution,-13.5,2024
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,19.3,2015
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,16.9,2016
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,17.4,2017
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,15.3,2018
