Financial soundness indicators,Financial soundness indicators-deposit-taking institution,Institution Type,Value,Year
Financial soundness indicators,Equities to total assets,Life Insurance,3.7,2019
Financial soundness indicators,Equities to total assets,Life Insurance,5.2,2020
Financial soundness indicators,Equities to total assets,Life Insurance,5,2021
Financial soundness indicators,Equities to total assets,Life Insurance,6.3,2022
Financial soundness indicators,Equities to total assets,Life Insurance,4.9,2023
=Financial soundness indicators,Net technical reserves to net premium paid in last 3 years,Life Insurance,796.3,2015
Financial soundness indicators,Net technical reserves to net premium paid in last 3 years,Life Insurance,776.8,2016
Financial soundness indicators,Net technical reserves to net premium paid in last 3 years,Life Insurance,740.1,2018
Financial soundness indicators,Net technical reserves to net premium paid in last 3 years,Life Insurance,666.5,2019
Financial soundness indicators,Net technical reserves to net premium paid in last 3 years,Life Insurance,609.8,2020
Financial soundness indicators,Net technical reserves to net premium paid in last 3 years,Life Insurance,674.1,2021
Financial soundness indicators,Net technical reserves to net premium paid in last 3 years,Life Insurance,650.2,2022
Financial soundness indicators,Net technical reserves to net premium paid in last 3 years,Life Insurance,565.8,2023
Financial soundness indicators,Risk retention ratio (net premium to gross premium),Life Insurance,98,2015
Financial soundness indicators,Risk retention ratio (net premium to gross premium),Life Insurance,98.6,2016
Financial soundness indicators,Risk retention ratio (net premium to gross premium),Life Insurance,98.7,2018
Financial soundness indicators,Risk retention ratio (net premium to gross premium),Life Insurance,97.9,2019
Financial soundness indicators,Risk retention ratio (net premium to gross premium),Life Insurance,98.2,2020
Financial soundness indicators,Risk retention ratio (net premium to gross premium),Life Insurance,97.9,2021
Financial soundness indicators,Risk retention ratio (net premium to gross premium),Life Insurance,98.5,2022
Financial soundness indicators,Risk retention ratio (net premium to gross premium),Life Insurance,98.2,2023
Financial soundness indicators,Gross premium to number of employees J$(000),Life Insurance,5.4,2015
Financial soundness indicators,Gross premium to number of employees J$(000),Life Insurance,6.6,2016
Financial soundness indicators,Gross premium to number of employees J$(000),Life Insurance,7.4,2018
Financial soundness indicators,Gross premium to number of employees J$(000),Life Insurance,7.8,2019
Financial soundness indicators,Gross premium to number of employees J$(000),Life Insurance,8.9,2020
Financial soundness indicators,Gross premium to number of employees J$(000),Life Insurance,11.6,2021
Financial soundness indicators,Gross premium to number of employees J$(000),Life Insurance,11.3,2022
Financial soundness indicators,Gross premium to number of employees J$(000),Life Insurance,10.9,2023
Financial soundness indicators,Assets per employee J$(000),Life Insurance,140.7,2015
Financial soundness indicators,Assets per employee J$(000),Life Insurance,152.7,2016
Financial soundness indicators,Assets per employee J$(000),Life Insurance,161.4,2018
Financial soundness indicators,Assets per employee J$(000),Life Insurance,167.2,2019
Financial soundness indicators,Assets per employee J$(000),Life Insurance,177.6,2020
Financial soundness indicators,Assets per employee J$(000),Life Insurance,188.6,2021
Financial soundness indicators,Assets per employee J$(000),Life Insurance,202.9,2022
Financial soundness indicators,Assets per employee J$(000),Life Insurance,204.4,2023
Financial soundness indicators,Expenses to net premium (expense ratio),Life Insurance,50,2015
Financial soundness indicators,Expenses to net premium (expense ratio),Life Insurance,42.8,2016
Financial soundness indicators,Expenses to net premium (expense ratio),Life Insurance,56,2020
Financial soundness indicators,Expenses to net premium (expense ratio),Life Insurance,60.6,2021
Financial soundness indicators,Expenses to net premium (expense ratio),Life Insurance,39.4,2022
Financial soundness indicators,Expenses to net premium (expense ratio),Life Insurance,47.4,2023
Financial soundness indicators,Investment Income to investment assets,Life Insurance,2.2,2015
Financial soundness indicators,Investment Income to investment assets,Life Insurance,2.6,2016
Financial soundness indicators,Investment Income to investment assets,Life Insurance,2.3,2018
Financial soundness indicators,Investment Income to investment assets,Life Insurance,1.8,2019
Financial soundness indicators,Investment Income to investment assets,Life Insurance,1.8,2020
Financial soundness indicators,Investment Income to investment assets,Life Insurance,3.3,2021
Financial soundness indicators,Investment Income to investment assets,Life Insurance,2.4,2022
Financial soundness indicators,Investment Income to investment assets,Life Insurance,2.3,2023
Financial soundness indicators,Return on Equity,Life Insurance,3,2015
Financial soundness indicators,Return on Equity,Life Insurance,8.2,2016
Financial soundness indicators,Return on Equity,Life Insurance,7.7,2018
Financial soundness indicators,Return on Equity,Life Insurance,8,2019
Financial soundness indicators,Return on Equity,Life Insurance,7.6,2020
Financial soundness indicators,Return on Equity,Life Insurance,10.6,2021
Financial soundness indicators,Return on Equity,Life Insurance,7,2022
Financial soundness indicators,Return on Equity,Life Insurance,6.6,2023
Financial soundness indicators,Liquid assets to total liabilities,Life Insurance,29.3,2015
Financial soundness indicators,Liquid assets to total liabilities,Life Insurance,33,2016
Financial soundness indicators,Liquid assets to total liabilities,Life Insurance,29.4,2018
Financial soundness indicators,Liquid assets to total liabilities,Life Insurance,24.2,2019
Financial soundness indicators,Liquid assets to total liabilities,Life Insurance,27,2020
Financial soundness indicators,Liquid assets to total liabilities,Life Insurance,21.1,2021
Financial soundness indicators,Liquid assets to total liabilities,Life Insurance,24.9,2022
Financial soundness indicators,Liquid assets to total liabilities,Life Insurance,30.4,2023
Financial soundness indicators,Duration on assets -Domestic Bonds,Life Insurance,1.1,2015
Financial soundness indicators,Duration on assets -Domestic Bonds,Life Insurance,1.3,2016
Financial soundness indicators,Duration on assets -Domestic Bonds,Life Insurance,2.8,2018
Financial soundness indicators,Duration on assets -Domestic Bonds,Life Insurance,2.7,2019
Financial soundness indicators,Duration on assets -Domestic Bonds,Life Insurance,2.3,2020
Financial soundness indicators,Duration on assets -Domestic Bonds,Life Insurance,3.4,2021
Financial soundness indicators,Duration on assets- Global Bonds,Life Insurance,7.4,2015
Financial soundness indicators,Duration on assets- Global Bonds,Life Insurance,5.5,2016
Financial soundness indicators,Duration on assets- Global Bonds,Life Insurance,10.3,2018
Financial soundness indicators,Duration on assets- Global Bonds,Life Insurance,9.4,2019
Financial soundness indicators,Duration on assets- Global Bonds,Life Insurance,10.6,2020
Financial soundness indicators,Duration on assets- Global Bonds,Life Insurance,11.1,2021
